function	description	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	0.4	2249.0	0.0	0.0	0.67	0.0	0.0	54.0	122.0	22.4	138.0	0.0	0.0	0.0	191.0
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	228.2	1051.2	1583.2	1446.6	709.4	3150.2	4190.2	1013.2	998.4	6.0	4195.8	16.8	216.8	1037.6	793.6
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	366.84	480.5	0.0	15.0	21.0	24.84	4417.0	6.16	132.84	78.5	582.0	53.0	24.0	10.66	8.0
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	664.89	21694.6	1667.87	16972.6	5435.139999999999	3207.0	8238.0	2118.1800000000003	7223.26	1344.0	8912.97	392.27	17088.9	5133.1	4653.599999999999
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	0.0	0.0	0.0	4.0	0.5	0.0	0.0	18.0	0.0	5.0	0.0	0.0	10.0	180.0	0.0
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	29994.81	38635.95	23271.42	24564.1	17512.31	17429.07	10049.2	15302.88	11660.68	31379.77	22136.07	25396.27	35438.1	18681.43	24106.77
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	17356.92	47313.5	5466.87	14424.0	4700.75	2495.15	19312.2	2019.2	3851.23	7105.6	8478.77	1946.17	20447.7	11341.5	4837.400000000001
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	280.07	1192.6	1655.2	2610.6	5413.3	3181.0	4199.0	1144.1	1687.0300000000002	85.0	4627.5	99.1	265.4	1065.6	4230.099999999999
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	18.0	0.0	0.0	211.0	0.0	0.0	0.0	54.0	2.0	22.0	0.0	23.5	0.0	12.0	0.0
K00103	GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	510.11	1806.3	1983.92	2715.1	1532.41	3166.29	5525.2	1218.11	3248.57	80.6	6864.570000000001	89.47	21264.8	1060.26	1406.6
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	549.5	3.67	450.33	93.67	350.0	49.33	12113.5	1128.33	138.33	218.0	261.0	903.66	218.17	63.67	736.67
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	298.07000000000005	1196.6	1655.2	2618.6	5396.639999999999	3172.0	4199.0	1170.6	1684.0300000000002	100.4	4627.5	145.6	234.4	1061.6	5470.099999999999
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	834.29	8471.45	3416.1	9393.2	11375.85	7587.17	13380.0	2326.2000000000003	9959.15	2130.02	11820.1	591.95	1515.8	2392.53	9206.669999999998
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	291.4	1450.6	1655.2	2815.6	5411.8	3870.0	4202.0	1033.6	1666.7	448.6	4609.6	159.1	246.4	1173.6	4223.9
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	291.4	1450.6	1655.2	2815.6	5411.8	3870.0	4202.0	1033.6	1666.7	448.6	4609.6	163.1	246.4	1173.6	4223.9
K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	0.4	0.0	0.0	0.0	0.67	0.0	0.0	36.0	0.0	7.0	0.0	0.0	0.0	0.0	613.0
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	319.47	1200.6	1666.2	2660.6	5408.139999999999	3179.0	4199.0	1095.7700000000002	1703.5300000000002	77.67	4627.5	292.6	244.4	1097.6	5214.27
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	260.74	1192.6	1655.2	2600.6	5396.469999999999	3172.0	4199.0	1040.6	1704.36	58.0	4656.400000000001	73.6	234.4	1055.6	4439.299999999999
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	847.49	1648.85	1959.2	2984.6	5836.969999999999	3172.42	16603.0	1152.68	1847.4500000000005	179.0	5230.0	223.1	965.4	1074.93	4431.099999999999
K00122	FDH; formate dehydrogenase [EC:1.17.1.9]	0.4	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	17609.61	16588.2	12349.2	11337.4	21394.91	14407.2	17634.2	4696.0	7211.49	6326.0	22223.8	1791.6	6030.0	9288.4	18975.3
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	591.37	1446.1	1717.7	3935.6	5415.139999999999	3874.0	4202.0	1073.1	1696.5300000000002	485.1	4638.6	134.1	251.4	1140.6	5463.9
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]	0.4	0.0	0.0	0.0	0.67	0.0	0.0	18.0	0.0	5.0	0.0	0.0	0.0	0.0	613.0
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	864.87	1469.6	1762.2	3973.6	5417.139999999999	3904.0	4202.0	1081.6	1713.0300000000002	514.6	4678.6	135.1	266.4	1131.6	5466.9
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	14114.59	8032.35	16690.55	6884.5	8219.35	13160.72	1571.4	12749.98	3741.75	24990.35	10842.1	23695.75	14273.4	8433.33	16443.0
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	298.07000000000005	1196.6	1664.2	2620.6	5396.639999999999	3172.0	4199.0	1062.6	1695.5300000000002	76.4	4761.400000000001	145.6	234.4	1061.6	5510.299999999999
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	81.34	333.6	514.05	66.0	425.01	0.84	221.5	1064.16	42.34	127.6	210.0	659.0	161.5	29.66	690.1999999999999
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	43.5	0.0	118.0	3.0	47.0	0.0	1640.5	1053.0	4.5	118.0	6.0	659.0	161.5	27.0	44.0
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	32203.31	38724.62	23951.75	24774.77	17947.31	19158.65	21095.7	16621.96	11799.01	31750.77	22325.07	26384.93	36146.27	18951.1	24843.44
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	32539.51	39817.42	25881.15	26502.870000000003	19085.85	22332.1	24766.9	17719.58	12827.91	31772.44	26917.87	26582.73	43405.07	20042.7	26689.41
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	1269.17	1375.0	2267.2	4003.6	10572.84	4891.799999999999	16321.3	2428.17	2500.33	391.67	5318.799999999999	1056.9	985.5	1306.6	12876.47
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	253.4	1192.6	1655.2	2600.6	5375.74	3172.0	4199.0	1022.6	1663.7	67.6	4598.6	73.6	234.4	1055.6	2609.7
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	284.8	1192.6	1655.2	2641.6	5396.639999999999	3172.0	4199.0	1071.1	1669.7	81.0	4627.5	75.6	236.4	1055.6	4997.099999999999
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	101.27	171.4	72.0	1178.0	4705.91	37.8	8.8	162.9	801.1300000000001	126.8	460.6	65.8	66.6	28.0	4869.199999999999
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.5	7.0	0.0	0.0	0.0	0.0	499.5
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	30458.81	36367.95	23513.57	24630.1	17710.77	17380.32	21327.2	15264.63	11902.68	31437.1	22382.07	25429.27	35411.1	18611.43	23979.1
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	253.4	1192.6	1655.2	2600.6	5395.469999999999	3172.0	4199.0	1022.6	1667.7	58.0	4627.5	73.6	234.4	1055.6	4826.099999999999
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	32196.31	38687.52	23609.55	23449.77	17520.18	19084.65	21381.7	16503.96	11783.01	31760.500000000004	22393.97	26184.93	36110.27	18911.1	25281.77
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	784.0
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	257.4	1192.6	1655.2	2592.6	5394.8	3172.0	4199.0	1040.6	1663.7	74.6	4598.6	73.6	234.4	875.6	3717.9
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	7.0	0.0	11.0	3.0	11.0	7.0	0.0	4.17	3.0	1.67	0.0	85.0	10.0	30.0	148.67
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	1.67	0.0	0.0	0.0	0.67	0.0	0.0	18.0	26.33	7.8	57.8	2.0	0.0	0.0	730.4
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	366.89	1215.6	1676.87	5078.6	5406.3	3198.0	4199.0	2093.02	3887.3600000000006	81.52000000000001	6535.27	177.02	3800.9	3261.1	3902.57
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	1314.0	79.67	709.3299999999999	327.67	520.0	3346.33	12107.0	353.33	132.33	258.0	261.0	348.66	1028.67	388.67	691.67
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2840.24	758.27	1295.2	884.17	1093.4699999999998	1685.83	24228.5	1442.0	2504.99	507.27	2426.67	1213.33	2121.17	323.67	1587.54
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2873.74	758.27	1413.2	884.17	1093.4699999999998	1685.83	24259.0	2490.0	2509.49	625.27	2426.67	1872.33	2282.67	350.67	1631.54
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	330.74	1450.6	1666.2	2621.6	5441.969999999999	3886.0	4202.0	1170.7700000000002	1708.36	479.67	4638.5	222.1	293.4	1203.6	5528.77
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	371.14	1454.6	1670.87	3122.6	5442.969999999999	3886.0	4202.0	1192.7700000000002	3891.3600000000006	485.67	6193.170000000001	293.77	283.4	1211.6	5075.77
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	47.67	4.0	4.67	50.0	1.67	0.0	0.0	40.0	2204.33	21.0	1554.67	68.67	0.0	6.0	613.0
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	47.67	4.0	4.67	50.0	1.67	0.0	0.0	40.0	2204.33	21.0	1554.67	68.67	0.0	6.0	613.0
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	321.5	107.5	55.5	598.0	4.0	505.0	2362.0	9.5	483.5	321.5	382.0	30.0	93.0	123.0	3.0
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	304.5	28.5	53.5	464.0	4.0	30.0	0.0	9.5	16.5	45.5	40.0	22.0	15.0	11.0	3.0
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	8.0	0.0	12.0	8.0	0.0	0.0
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	321.5	107.5	55.5	598.0	6.0	505.0	2362.0	9.5	361.5	321.5	382.0	35.0	93.0	123.0	3.0
